Date,City,BloodType,UnitsRequested,EmergencyLevel,Hospital
2024-12-11,Hubballi,A-,13,Medium,SDM Hospital
2025-04-11,Hubballi,A+,2,High,SDM Hospital
2025-06-04,Hubballi,A-,15,Low,SDM Hospital
2025-02-09,Belagavi,AB+,11,High,Lakeview Hospital
2025-05-29,Hubballi,A+,5,Medium,KIMS Hubli
2025-01-25,Mysuru,A-,1,Low,JSS Hospital
2024-10-20,Belagavi,A+,3,Medium,Lakeview Hospital
2024-11-29,Hubballi,AB+,5,Medium,SDM Hospital
2025-02-25,Belagavi,A-,13,Low,Lakeview Hospital
2024-12-22,Belagavi,AB-,10,Medium,Lakeview Hospital
2025-09-05,Mysuru,B-,5,Medium,Columbia Asia
2024-12-07,Bengaluru,AB-,4,Low,Apollo
2025-04-01,Mangaluru,AB-,11,Low,KMC Hospital
2024-11-17,Bengaluru,B-,11,Low,Fortis
2025-05-15,Mangaluru,AB-,1,High,KMC Hospital
2024-11-09,Hubballi,O+,2,High,KIMS Hubli
2025-03-11,Belagavi,B+,3,Low,Lakeview Hospital
2025-01-19,Hubballi,A+,2,Medium,SDM Hospital
2025-08-12,Bengaluru,A+,11,High,Fortis
2024-12-20,Belagavi,A-,7,Low,KLES Dr. Prabhakar Kore Hospital
2025-03-21,Mangaluru,A+,12,Low,AJ Hospital
2024-12-12,Bengaluru,AB-,4,High,Fortis
2025-06-10,Bengaluru,B+,5,Low,Fortis
2025-01-18,Bengaluru,AB+,9,Medium,Fortis
2025-08-03,Mysuru,AB-,6,High,Columbia Asia
2025-01-09,Mangaluru,A+,10,High,AJ Hospital
2025-06-15,Belagavi,B+,12,Low,Lakeview Hospital
2024-12-07,Mangaluru,A-,15,High,KMC Hospital
2025-05-06,Hubballi,AB+,3,Medium,SDM Hospital
2025-05-21,Belagavi,O-,11,Low,KLES Dr. Prabhakar Kore Hospital
2025-09-29,Mysuru,A-,2,Low,JSS Hospital
2024-12-30,Bengaluru,A+,6,Medium,Manipal Hospital
2024-12-04,Belagavi,O+,13,Medium,Lakeview Hospital
2025-08-21,Mangaluru,A-,3,High,KMC Hospital
2024-10-27,Bengaluru,A-,10,Medium,Fortis
2025-03-27,Belagavi,O+,6,High,KLES Dr. Prabhakar Kore Hospital
2025-10-01,Belagavi,AB+,7,High,KLES Dr. Prabhakar Kore Hospital
2025-03-14,Bengaluru,O+,3,Low,Manipal Hospital
2025-08-25,Mysuru,O+,5,High,JSS Hospital
2025-02-19,Mysuru,AB-,15,High,JSS Hospital
2025-09-14,Bengaluru,A-,8,Medium,Manipal Hospital
2024-12-30,Mangaluru,B-,15,Low,KMC Hospital
2024-11-22,Hubballi,AB+,5,High,KIMS Hubli
2025-04-12,Hubballi,O-,5,High,KIMS Hubli
2025-07-19,Hubballi,AB-,15,Medium,KIMS Hubli
2025-02-13,Belagavi,O-,9,Medium,KLES Dr. Prabhakar Kore Hospital
